F1,F2,F3,F4,F5,X,Y,Z,C1,C2,cl
885,815,601,442,410,177,187,102,0,1,have
405,420,568,795,537,96,248,245,0,0,hair
575,424,614,405,507,51,50,222,0,1,hungry
506,846,413,519,856,131,157,111,0,0,three
560,713,840,735,856,162,57,163,0,1,f
481,623,674,503,815,64,234,61,0,0,seven
636,760,539,460,712,207,86,108,1,0,g
559,507,479,395,409,208,121,202,0,0,six
889,544,771,753,833,43,90,187,0,1,p
630,385,822,869,703,91,59,212,0,0,home
676,790,423,843,816,79,213,54,1,0,b
514,440,484,571,494,64,200,82,0,0,yesterday
470,642,490,351,705,148,28,187,0,1,your
427,762,757,823,654,70,137,74,0,1,sixty
877,584,872,629,724,26,158,103,0,0,four
877,339,542,754,502,149,68,187,1,0,how
695,459,689,673,465,195,48,140,0,0,or
488,380,420,421,767,94,147,222,0,0,outside
563,404,586,569,856,81,109,74,1,0,eight
352,851,341,451,812,212,54,152,1,0,ten
376,898,365,447,825,213,54,149,1,0,ten
800,419,623,686,486,77,245,109,0,0,you
883,554,603,835,538,198,27,191,1,1,j
465,682,426,349,664,159,43,174,0,1,your
284,862,804,514,387,57,79,147,1,1,a
579,621,569,417,474,224,216,188,0,0,hour
405,696,802,421,484,115,212,79,1,1,hand
564,612,659,400,760,163,234,55,1,0,t
386,891,459,538,463,82,109,108,1,1,hours
458,483,720,567,666,134,223,201,0,1,water
379,762,803,770,514,166,199,196,0,1,two
553,663,681,460,489,119,110,130,1,0,u
586,603,663,402,711,168,225,67,1,0,t
673,471,486,883,450,111,90,62,0,1,y
700,423,711,687,480,209,51,131,0,0,or
632,817,450,865,836,99,206,43,1,1,b
389,566,810,584,528,81,175,132,1,0,fifty
543,598,720,527,830,49,227,61,0,0,seven
814,888,698,361,669,160,78,149,1,0,r
521,417,712,503,899,108,171,212,1,0,apple
402,392,369,339,500,39,34,15,0,1,e
769,767,412,403,416,105,98,106,0,0,of
568,401,579,463,508,55,56,217,0,0,hungry
470,495,844,850,424,64,82,199,0,1,k
895,537,725,761,871,16,73,183,0,1,p
544,510,528,393,463,223,96,202,0,0,six
462,878,798,881,393,83,115,186,0,0,twenty
559,765,437,546,610,189,155,163,1,1,s
608,595,808,340,586,130,104,87,1,0,what
380,658,859,519,426,217,216,55,1,1,old
578,709,898,706,881,175,60,171,0,1,f
849,471,903,442,681,58,187,167,1,0,hate
429,878,447,551,483,96,124,146,0,1,hours
636,405,575,398,502,68,27,202,0,1,hungry
496,721,536,556,541,157,41,132,1,0,where
477,520,794,664,909,25,212,87,1,1,him
492,543,452,440,446,219,242,47,0,1,them
520,457,783,521,825,106,178,211,1,0,apple
371,426,788,592,558,205,103,196,1,1,d
736,772,723,511,834,184,20,184,0,0,v
849,597,845,624,705,11,139,93,0,0,four
909,556,659,776,472,212,24,212,1,1,j
543,489,456,554,484,45,185,75,0,0,yesterday
729,444,510,892,799,200,70,163,0,1,half
755,833,468,661,437,116,153,201,1,1,once
351,434,565,740,522,86,232,212,0,0,hair
589,531,470,391,466,209,106,168,1,0,six
864,458,909,395,617,71,215,158,1,0,hate
474,588,498,454,922,200,213,56,0,0,n
897,414,481,406,842,50,148,120,1,0,heavy
623,375,823,846,700,119,71,204,0,0,home
550,858,488,856,474,181,164,81,1,0,head
671,541,734,571,354,90,106,67,1,0,hat
529,506,758,543,895,128,180,187,1,0,apple
654,380,664,882,585,41,98,53,0,1,h
390,888,395,458,828,209,59,142,1,0,ten
421,403,362,376,459,16,61,24,1,0,e
708,781,755,534,830,202,34,209,1,1,v
778,828,423,466,772,61,195,78,0,0,i
657,733,444,849,876,114,198,134,0,1,happy
557,687,739,449,476,119,97,142,1,0,u
384,659,403,736,609,126,141,49,0,1,hello
833,506,517,704,786,49,56,47,0,0,c
500,426,906,843,419,85,94,192,0,1,k
636,642,770,380,587,130,94,86,1,0,what
518,714,523,608,566,182,32,159,1,0,where
808,401,641,656,549,91,233,107,0,0,you
861,374,493,739,478,148,68,209,1,0,how
674,541,783,554,315,82,91,60,1,0,hat
706,438,500,868,802,215,63,183,0,1,half
542,790,456,582,587,178,131,163,0,1,s
648,404,571,577,845,79,18,26,0,0,other
897,517,754,726,873,19,80,154,0,1,p
762,760,730,490,822,183,39,208,0,1,v
488,570,498,406,449,241,245,13,1,1,them
776,557,771,763,797,174,204,204,1,1,z
593,595,498,598,797,91,73,110,0,0,hands
798,852,626,535,830,228,119,248,1,1,years
640,633,821,352,581,135,90,79,1,0,what
763,836,447,634,409,100,170,223,0,1,once
487,622,649,466,851,35,223,40,0,0,seven
820,884,436,607,403,80,90,183,0,1,five
797,331,348,831,754,97,209,164,0,1,nine
797,335,410,854,790,74,197,195,0,1,nine
403,900,479,513,415,48,108,107,0,1,hours
501,566,459,399,447,206,231,49,1,1,them
660,379,533,580,867,54,29,37,1,0,other
608,420,595,433,491,65,53,208,0,1,hungry
885,466,885,433,643,60,199,154,1,0,hate
637,358,549,565,885,50,14,30,1,0,other
752,821,556,716,427,72,145,209,0,0,take
588,569,710,450,701,152,238,59,1,0,t
483,844,797,894,699,150,192,21,1,0,their
355,451,544,817,549,75,200,216,0,1,hair
805,864,443,527,439,54,85,201,0,1,five
606,576,498,696,425,21,219,51,0,1,time
879,423,491,411,856,48,170,113,1,0,heavy
472,544,461,388,450,242,231,44,1,0,them
798,900,688,376,714,173,59,131,1,0,r
710,884,438,482,767,41,200,83,0,0,i
874,414,484,497,872,67,154,113,1,0,heavy
